ano,mes,sigla_uf,tipo_consumo,numero_consumidores,consumo
2004,3,26,1,0.0,622783.0
2004,3,27,1,0.0,300453.0
2004,4,1,1,0.0,107580.0
2004,4,2,1,0.0,34961.02
2004,4,3,1,0.0,279044.7
2004,4,4,1,0.0,33035.03
2004,4,5,1,0.0,1032233.03
2004,4,6,1,0.0,40234.0
2004,4,7,1,0.0,71774.33
2004,4,8,1,0.0,728379.0
2004,4,9,1,0.0,123168.0
2004,4,10,1,0.0,523200.12
2004,4,11,1,0.0,264504.74
2004,4,12,1,0.0,235364.14
2004,4,13,1,0.0,674646.39
2004,4,14,1,0.0,289626.0
2004,4,15,1,0.0,204065.06
2004,4,16,1,0.0,1419046.03
2004,4,17,1,0.0,3668628.56
2004,4,18,1,0.0,583307.17
2004,4,19,1,0.0,2626340.44
2004,4,20,1,0.0,8623046.79
2004,4,21,1,0.0,1691910.14
2004,4,22,1,0.0,1215161.08
2004,4,23,1,0.0,1966239.92
2004,4,24,1,0.0,290653.111
2004,4,25,1,0.0,353039.55
2004,4,26,1,0.0,644083.0
2004,4,27,1,0.0,322911.0
2004,5,1,1,0.0,112115.8
2004,5,2,1,0.0,29766.47
2004,5,3,1,0.0,283866.0
2004,5,4,1,0.0,28944.36
2004,5,5,1,0.0,1057805.52
2004,5,6,1,0.0,38522.0
2004,5,7,1,0.0,74458.77
2004,5,8,1,0.0,751060.16
2004,5,9,1,0.0,121261.0
2004,5,10,1,0.0,501515.0
2004,5,11,1,0.0,258761.56
2004,5,12,1,0.0,234298.81
2004,5,13,1,0.0,649438.38
2004,5,14,1,0.0,284219.0
2004,5,15,1,0.0,186831.22
2004,5,16,1,0.0,1436199.39
2004,5,17,1,0.0,3692795.02
2004,5,18,1,0.0,586400.86
2004,5,19,1,0.0,2530944.98
2004,5,20,1,0.0,8096487.86
2004,5,21,1,0.0,1656608.65
2004,5,22,1,0.0,1223449.92
2004,5,23,1,0.0,1842967.59
2004,5,24,1,0.0,267345.28
2004,5,25,1,0.0,328933.88
2004,5,26,1,0.0,654000.0
2004,5,27,1,0.0,315509.0
2004,6,1,1,0.0,107816.5
2004,6,2,1,0.0,32048.6
2004,6,3,1,0.0,285251.0
2004,6,4,1,0.0,29531.8
2004,6,5,1,0.0,1067141.38
2004,6,6,1,0.0,41854.0
2004,6,7,1,0.0,77738.63
2004,6,8,1,0.0,730462.0
2004,6,9,1,0.0,122482.0
2004,6,10,1,0.0,511009.0
2004,6,11,1,0.0,263985.24
2004,6,12,1,0.0,236512.27
2004,6,13,1,0.0,642487.26
2004,6,14,1,0.0,284384.0
2004,6,15,1,0.0,193240.77
2004,6,16,1,0.0,1424739.2
2004,6,17,1,0.0,3769021.14
2004,6,18,1,0.0,571593.44
2004,6,19,1,0.0,2366320.42
2004,6,20,1,0.0,8191582.41
2004,6,21,1,0.0,1621652.0
2004,6,22,1,0.0,1160112.93
2004,6,23,1,0.0,1774798.63
2004,6,24,1,0.0,251956.73
2004,6,25,1,0.0,328386.13
2004,6,26,1,0.0,687091.0
2004,6,27,1,0.0,309763.0
2004,7,1,1,0.0,108589.0
2004,7,2,1,0.0,33659.7
2004,7,3,1,0.0,295884.0
2004,7,4,1,0.0,28212.49
2004,7,5,1,0.0,1083198.64
2004,7,6,1,0.0,40924.0
2004,7,7,1,0.0,74534.74
2004,7,8,1,0.0,741749.91
2004,7,9,1,0.0,120148.2
2004,7,10,1,0.0,495416.0
2004,7,11,1,0.0,249242.91
2004,7,12,1,0.0,235539.26
2004,7,13,1,0.0,619249.73
2004,7,14,1,0.0,282241.0
2004,7,15,1,0.0,197780.39
2004,7,16,1,0.0,1434806.72
2004,7,17,1,0.0,3739868.62
2004,7,18,1,0.0,585851.57
2004,7,19,1,0.0,2466119.02
2004,7,20,1,0.0,8302446.25
2004,7,21,1,0.0,1621327.49
2004,7,22,1,0.0,1195777.68
2004,7,23,1,0.0,1781687.72
2004,7,24,1,0.0,251231.95
2004,7,25,1,0.0,353610.68
2004,7,26,1,0.0,688157.0
2004,7,27,1,0.0,318750.0
2004,8,1,1,0.0,110858.0
2004,8,2,1,0.0,34837.46
2004,8,3,1,0.0,296649.53
